h,r,t
808,189379,1
515,220316,1
460,72452,1
1949,139364,1
2380,166780,1
211,197192,1
759,87467,1
1058,50829,1
551,106826,1
720,102391,1
1536,48165,1
102,107522,1
168,204598,1
1521,64361,1
1538,77230,1
115,115364,1
1956,197195,1
460,53193,1
1730,66392,1
199,205388,1
441,75436,1
396,160991,1
2374,50465,1
396,118428,1
267,170435,1
1154,47636,1
1187,88953,1
2049,224025,1
620,153929,1
2471,76061,1
1651,169733,1
1197,217791,1
2486,78919,1
1735,213794,1
2099,88933,1
2329,125925,1
575,212186,1
1612,218573,1
1651,123875,1
990,183313,1
1536,109174,1
519,140523,1
2261,169726,1
1839,134664,1
1485,104982,1
614,171007,1
754,162351,1
805,81417,1
343,131372,1
1196,151287,1
2022,88909,1
2102,139351,1
1566,110796,1
227,139915,1
653,133680,1
2,190815,1
1596,222428,1
1487,157661,1
1021,190107,1
168,58107,1
45,126143,1
1713,175313,1
54,222557,1
1485,195017,1
168,124125,1
813,105571,1
519,197862,1
1197,57387,1
361,137333,1
267,156437,1
1342,202376,1
1777,156297,1
1135,77872,1
1696,209916,1
2463,99280,1
798,135820,1
129,110086,1
1197,211036,1
1832,204332,1
1163,190006,1
1897,62061,1
1784,130459,1
1596,167210,1
505,121040,1
162,70790,1
551,103628,1
1017,66039,1
1465,200463,1
1870,85954,1
1059,112460,1
2467,150366,1
308,132617,1
460,227655,1
614,78226,1
129,160049,1
1477,44719,1
2029,175305,1
1485,67634,1
16,222200,1
193,219816,1
267,221847,1
2382,98576,1
1135,138530,1
465,126831,1
2374,205668,1
338,93210,1
1316,157429,1
1888,128865,1
2329,145235,1
421,200217,1
1720,59989,1
2262,181657,1
1485,57374,1
1214,187677,1
1651,148980,1
1973,104386,1
1720,129960,1
759,153002,1
68,49866,1
2308,58164,1
170,183962,1
1631,196788,1
242,182234,1
2040,129965,1
765,216494,1
743,121355,1
2310,99696,1
3,218645,1
100,83445,1
1461,62849,1
575,147518,1
782,176306,1
2262,75550,1
2163,136699,1
194,155824,1
1720,177642,1
2173,152152,1
1574,167659,1
805,118464,1
7,190218,1
1090,83207,1
990,50866,1
1956,90813,1
795,46912,1
686,190299,1
1774,94701,1
1350,105076,1
1407,102774,1
305,185187,1
1911,66917,1
614,212264,1
2029,182202,1
633,188143,1
658,211806,1
1016,93328,1
68,54976,1
1666,74313,1
1454,200987,1
1911,68935,1
2491,113235,1
544,200196,1
1486,144540,1
1661,191550,1
2262,66330,1
1105,55750,1
1455,197008,1
1326,219308,1
34,169935,1
1407,51751,1
